,Team_H,xg_pg_H,xga_pg_H,btts_perc_H,fts_perc_H,cs_perc_H,over_perc_H,under_perc_H,corners_for_pg_H,corners_against_pg_H,cards_against_per_game_H,Team_A,xg_pg_A,xga_pg_A,btts_perc_A,fts_perc_A,cs_perc_A,over_perc_A,under_perc_A,corners_for_pg_A,corners_against_pg_A,cards_against_per_game_A,home_goals,away_goals,result
106,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,2,0,1
107,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,3,2,1
108,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,3,0,1
109,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,1,2,2
110,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,1,1,3
111,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,2,1,1
112,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,2,1,1
113,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,2,1,1
114,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,2,1,1
115,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,1,2,2
116,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,1,1,3
117,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,1,1,3
118,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,0,2,2
119,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,0,4,2
